14:23:35.449 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.toys.acb.SqlTest], using SpringBootContextLoader
14:23:35.464 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.toys.acb.SqlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:23:35.464 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.toys.acb.SqlTest]: SqlTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:23:35.946 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.toys.acb.UserApplication for test class com.toys.acb.SqlTest
14:23:36.180 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:23:36.258 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57ea113a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@acdb094, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@674bd420, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2b0f373b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2ceb80a1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b45dcb8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7216fb24, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2072acb2, org.springframework.test.context.event.EventPublishingTestExecutionListener@50ecde95, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@35a9782c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@70a36a66, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@45815ffc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@732f29af, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@d3957fe, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6622fc65]
14:24:43.302 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.toys.acb.SqlTest], using SpringBootContextLoader
14:24:43.318 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.toys.acb.SqlTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:24:43.615 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:24:43.630 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@176b3f44, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6ee6f53, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@421bba99, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5d12a356, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@134d26af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@66ac5762, org.springframework.test.context.transaction.TransactionalTestExecutionListener@797cf65c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31bcf236, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b3ed2f0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4fad9bb2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@517d4a0d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7862f56, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3a12c404, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1941a8ff, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@22d7b4f8]
14:25:04.261 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.toys.acb.SqlTest], using SpringBootContextLoader
